Name,Counselling,tool1,tool1Message,tool2,tool2Message,tool3,tool3Message,tool4,tool4Message,tool5,tool5Message,tool6,tool6Message,tool7,tool7Message,tool8,tool8Message
"With responsibilities, I always tend to feel If not me, then who? I can easily just decide to remove myself from any equation and take the easy way out. But for reasons I can't quite understand, I find it difficult to take this route","I completely understand the burden and exhaustion you must feel with taking so much responsibility on your shoulders. After all, we all have limited capacities, and functioning beyond a limit can be overwhelming.

On one hand, being a responsible human being is a good thing. It shows that you are reliable, accountable, and caring. However, if we push ourselves too far, by taking on other people's tasks, saying yes to everything, & blaming ourselves for everything that goes wrong, it might come at the cost of our needs.

Owning your mistakes and blunders can be a sign of maturity. However, owning up to other people's feelings, tasks, responsibilities, & mistakes is a sign of over-responsibility. This might lead you to be taken for granted by others. It is necessary to say 'No' to certain things if it comes at your expense.

I can completely understand that taking too many responsibilities and completing them might make you feel satisfied at the end of the day because it could help you feel confident about yourself, could please people around you; however, do you realize that these responsibilities make you feel so exhausted, overwhelmed and it may hardly give you any time for yourself?

Let us try to understand how you feel when you take responsibility and when you cannot take responsibility.",guided_journaling,"Try to remember when you have many responsibilities to handle. Also, think about your feelings when you have no responsibilities to worry about.",guided_journaling,Take note of all the factors that led you to take responsibility,reflective_questions,"What are the current unnecessary responsibilities that you wish to say ""no"" to? What are the costs and benefits of saying no?",guided_journaling,"Let us fill in a few statements below to set healthy boundaries for improved work and relationships.

1. The set of tasks that cannot wait to be completed are.......
2. The set of tasks that can wait and be completed later are.......
3. The things that do not necessarily need to be done by me and can be delegated to others are.......
4. The number of hours I wish to give myself and the things I want to do are.....",,,,,,,,
"Everyone in my life has dumped their troubles on me because they feel heard. But when I have tried to reach out and tried say that I don't feel good and that I'm not doing well, it gets ignored or not even acknowledged","It can be so frustrating to feel like you’re talking into an abyss when you reach out to someone. First of all, the very act of asking for support is brave. It can feel daunting and require effort. It can be really disheartening when all that effort seems to go to waste. I’m sorry to hear this was your experience.

I wonder how you perceive the lack of acknowledgment or dismissal of your needs.",guided_journaling,What does it mean to you when others are unable to support you?,practice_awareness,"Now, picture them standing in front of you, and between you two, picture a box. When they say something, you have the option to either take it, or put it in the box between you. If you take it, you’re choosing to help them work through it. If you leave it in the box, you have two options - you can come back to it later, when you’re better able to offer support; or, you can return it, and choose not to help them through this issue. When you put it in the box, you can kindly and compassionately communicate to the other, ‘I am not in a position to help you with this right now. Let me come back to you later, or how about you try ____ instead?’

Slowly open your eyes.",practice_breathing,breathing_4_x_5_x_6,,,,,,,,,,
"I’ve previously expressed at work when I need a break, or need extra help, or some relief. But I just don't see any action happening, and you can't help but think that you are forgotten, and only noticed when you mess up","I hear that you feel forgotten at your workplace. You have expressed your need for a break, or extra help, however, the same has not been acknowledged. This entire experience has left you wondering if you even matter in the workplace unless you make a mistake.

I get you.

As part of an organization, we have certain expectations of the workplace. It's important to us that we're acknowledged for our work and contributions to the larger cause, as well as that the organization takes care of us in return. Not feeling supported can be quite an unpleasant experience for us.

It is only human to feel this way.

According to Abraham Maslow, a humanistic psychologist, humans have a basic need for love and belonging that determines their behavior. Thus, it becomes imperative that the workplace also fulfills this need by making us feel like we matter.

If it is not, setting boundaries and communicating our needs assertively becomes more critical.

In this mini-therapy, we will explore this discomfort and understand some ways to assert our boundaries at the workplace to feel more in control.

Let us explore some ways you have tried to communicate your needs. This activity would allow us to better understand your experience and make a holistic sense of it.",reflective_questions,"Reflect on some of the past experiences where you asked for help and felt forgotten, and unsupported by your workplace.

Take the latest example, and elaborate on it.",practice_awareness,PMR,guided_journaling,What do workplace boundaries mean to you? Why is it necessary for you to take a break/extra help or relief at the workplace?,guided_journaling,"What are 1-2 boundaries that you would like to set in your workplace?

Put them in I-statements as you would like to express them to others.",practice_breathing,breathing_4_x_7_x_8,,,,,,
How do I motivate myself without having the pressure of stress driving me?,"Continuous stress can be overwhelming and lead to negativity. The negative loop of thoughts can contribute to mental and physical fatigue. I can completely understand how challenging it would be to find yourself in this state.

As we begin this journey, let's relax our mind and body. I believe you need to overcome fatigue as you navigate your journey of finding motivation. So, get into a comfortable position and find a quiet space to relax.

Exhale completely through your mouth, making a whoosh sound. Close your mouth and inhale quietly through your nose for a mental count of 4. Hold your breath for a count of 7. Exhale completely through your mouth, making a whoosh sound to a count of 8. This is one breath.

Now inhale again and repeat the cycle three more times.",practice_breathing,breathing_4_x_7_x_8,reflective_questions,How has stress helped you in the past?,practice_awareness,"I would like you to close your eyes and think of all the tasks you wish to accomplish in the next 7 days.

Imagine how you would desire to live the next 7 days of your life. Think of the tasks you will do. Think of the first thing you will do in the morning. How would you want to spend each day going forward? What kind of people would you wish to surround yourself with? How would you like to reward yourself and celebrate your small successes? How would you like to spend your leisure time? How would you feel at the end of a successful day and the end of seven days?

Visualize yourself at the end of seven days feeling empowered and strong in the face of all the ups & downs.

Slowly open your eyes and return to the present",guided_journaling,Try to come up with at least the first three small steps you can take to reach your desired accomplished self. Talk about how you will feel after taking those steps and how they will benefit you.,guided_journaling,"As you begin your journey towards your accomplished self in the next 7 days, make a list of things you can control and a list of things you cannot control.",,,,,,
"I have a hard time controlling myself when I get angry, and I lash out. I’ve lost promotions at work, ruined friendships and romantic relationships and got in a lot of trouble because of it","I know how losing oneself in anger can feel. Anger, when uncontrolled, can harm us and others.

It’s never easy to acknowledge how we feel and work toward change. Thank you for reaching out for support.

To begin, let's take a deep breath and observe how you feel when you breathe in and out. This can help you come back to the present moment and start with a fresh and renewed perspective.",practice_awareness,Pay attention to your natural breath and notice how you feel when breathing in and out.,reflective_questions,"1. Who makes you angry?
2. What are the things that annoy you?",reflective_questions,"1. How do you express anger?
2. How do you feel after you've experienced your anger?",reflective_questions,"How has your anger impacted your friendships, romantic relationships, and your work relationships?",practice_breathing,breathing_4_x_7_x_8,reflective_questions,"What behavior would I never tolerate in different relationships?

1. Workspace (colleagues, bosses)
2. Romantic relationship
3. Friendship
4. Family",guided_journaling,"Think of a conversation you had that didn't end well. And let's work together to practice this.

Fill in the blanks using this as a template to express your anger and create a boundary in a healthy manner.

I feel____ when____. I would appreciate it if you could______.

E.g., I feel unhappy when I speak and you are busy on your phone. I would like it if you could spend at least 10 minutes with me without distractions.",,
"I feel like others around me are always oblivious to everything, and have no idea what's actually going on, and how I've been affected. They always just assume I’m fine and not affected. Sometimes they don't even realize the extent of what actually happened","I understand that you feel like others around you are always oblivious to everything, and have no idea what's going on with you. It sounds like you're feeling alone in your struggles. It can be incredibly difficult when you believe that the people around you don't understand what you're struggling through or how deeply you've been affected by certain experiences. Understandably, you want others to acknowledge your feelings and be there for you during tough times.

Let's take some time to explore this together. What specific situations or experiences have made you feel this way? Please feel free to take as much time as you need to write them down.",guided_journaling,What specific situations or experiences have made me feel like others are oblivious to my struggles?,guided_journaling,How does it make me feel when others don't understand or acknowledge my experiences and emotions?,practice_awareness,Take a deep breath and let yourself feel whatever you need to feel.,reflective_questions,Take a moment to explore the reasons behind your difficulty in communicating.,guided_journaling,Think about a specific situation where you felt like your experiences and emotions were not being acknowledged by someone - How could I communicate my feelings and needs to them in a more effective way keeping in mind my difficulties with communication?,,,,,,
"With work, I'm not great at being on time. I take a long time to figure out what should I do next, I get stuck on one step and I beat myself up the whole time","Being on time is a vital part of our professional and personal lives. And it’s okay to find difficulty being timely at work. After all, you’re human! And yes, it can be a constant struggle for some of us. So let’s address it in this mini-therapy. Today let’s discuss the consequences of being late at work and learn some ways to prioritize your tasks.

As we begin, I want us to spend a minute thinking about your relationship with time. Could you create a metaphor from your experiences? For example, is time like a river, flowing steadily and moving you along, or is it like a ticking clock, constantly reminding you of the seconds slipping away? It could be anything. I’ll give you a minute to reflect.",practice_awareness,Take some time to reflect,reflective_questions,"What are some other consequences?

How has being consistently late impacted your work, productivity, and stress levels?",guided_journaling,What tasks are the most important for you to complete today?,,,,,,,,,,
I want to forgive my parents,"It can be empowering and liberating to forgive our parents. But gosh, it’s like climbing Everest!

The tricky thing about forgiveness is that sometimes we let it hinge on an apology for or acknowledgment of the hurt the other person has caused us. But we may or may not get it. It may be too painful for a parent to acknowledge that they’ve hurt their child, especially if they haven’t done it intentionally. They may feel embarrassed or ashamed to the point of denying the pain they caused.

So, with compassion for that, let’s work through your need to forgive.

When we hold anger, disappointment, or resentment for someone, it can be really heavy and bog us down. Despite our best efforts, it may show up in our relationship with them. We may even misdirect these feelings to other areas of our life.

Let’s look at how all of this impacts you.",guided_journaling,How are your feelings toward your parents impacting you and your life?,guided_journaling,Think of an incident where you felt hurt by your parents. What could be some external or situational reasons for them behaving the way they did?,guided_journaling,What are some of your parents’ shortcomings that may have impacted their relationship with you?,,,,,,,,,,
"Living away from my parents, the memories that pain me the most are the loudest","Ironically, our pain too needs a safe space. Quite often, our painful memories surface at a time when we are no longer immediately surrounded by them. This is especially the case with people who get into problem-solving mode when faced with a challenge.

Say you have a lot of disagreements with your parents. When you’re in the middle of an argument, you’d probably spend your mental resources trying to find some solution,  diffuse the situation, or perhaps, escape the situation. In any case, you deal with the situation at hand rather than feeling it.

It’s only when the storm passes do we pick up the pieces.

The pieces represent our painful memories and feelings. They pop their heads up when they have the space to be seen or heard.

The fact that painful memories are the loudest for you suggests that you have not had a chance to process them.

How about we do that together today?

Before we dive into it, let's ground ourselves with a few deep breaths. Our breath is a powerful and accessible tool that soothes us through challenging times.

So close your eyes and let’s breathe together.",practice_breathing,breathing_4_x_5_x_6,guided_journaling,What are these painful memories about?,practice_awareness,"To self-soothe means to learn to comfort ourselves. It is something everyone needs to learn and knows how to do to some extent. This is because without being able to self-soothe, we can’t survive. A very basic type of self-soothing is eating when you’re hungry. What you’re doing here is identifying a need - food - and doing something to fulfill that need.",practice_affirmations,"I am learning to see my parents as humans first. I am learning to accept that they are not perfect, and I can make room for their flaws without carrying the weight.",,,,,,,,
Repeating the same day over and over — all I do is take care of my family and household chores which have just burnt me out. This routine makes me feel like I'm on a hamster wheel with no option to get off,"It's understandable how you feel about repeating the same day over and over again, where taking care of your family and household chores has burnt you out. It's like being on a hamster wheel with no end in sight, and yes, that can be overwhelming. In this safe space, we call mini-therapy, I'm here to help you explore those emotions, understand your needs and find a routine for you. Together, we can create a plan to help you feel more fulfilled and less stressed, and break free from monotony.

When we are dedicated caretakers, it's easy to overlook the toll it can put on our mental and physical well-being. It’s a challenging position to be in, but it’s also critical to take care of yourself. Let’s take a moment to explore this.",reflective_questions,How have you noticed burnout affects your daily life?,reflective_questions,What can you do to address burnout?,practice_awareness,What could that be for you? I’ll give you a moment to think,guided_journaling,"Can we ponder upon a couple of self-care activities that can be added to your routine? You could create Self-Care Bingo with this list too. Let’s go!

If you created a self-care activities list, what would you add to it?",,,,,,,,
There’s always a different reason that makes me feel anxious and nauseous and I’m struggling a bit to really understand the issue,"Anxiety often shows up when we feel threatened by or fearful of something. This can be something happening at a particular time, or something we anticipate. Sometimes, anxiety can also show up when we’re in a situation that reminds us of something that happened in the past. In any case, when we feel anxious, there is a voice inside that tells us we need to look out for ourselves. For this reason, anxiety can actually be an adaptive and welcome response.

Let me explain with an example - say you were in a bar with a few of your friends. Next to you, a bunch of guys were hanging out together, having a heated conversation. Soon enough, the conversation turns into a fistfight, and you feel scared for your safety. This incident might leave you feeling uncomfortable every time someone gets into a quarrel. It might not turn into a full-blown brawl, but you fear it nonetheless.

Let’s explore what kind of situations your anxiety feelings come up in.",guided_journaling,Think back to when you first started experiencing anxiety. What was happening in your life? Was there an event or incident that might have started it?,practice_awareness,"Sit upright with your back straight and your shoulders relaxed. With your right ring finger, close your left nostril, and breathe in through the right for a count of 1, 2, 3. Now cover your right nostril and breathe out through the left for 1, 2, 3, 4, 5, 6. Breathe in through the left for 1, 2, 3, and out through the right for 1, 2, 3, 4, 5, 6.

That’s one round. Let’s do it twice.

Breathe in through the right for 1, 2, 3, and out through the left for 1, 2, 3, 4, 5, 6. Breathe in through the left for 1, 2, 3, and out through the right for 1, 2, 3, 4, 5, 6. In through the right for 1, 2, 3, and out through the left for 1, 2, 3, 4, 5, 6. In through the left for 1, 2, 3, and out through the right for 1, 2, 3, 4, 5, 6.

Take a moment to relax here.",,,,,,,,,,,,
"I tend to overthink simple things. I've been through a lot in my life so I don't feel like I deserve good things, so I say or do things that aren't appealing","It takes courage to admit when things are tough, and it sounds like you've been going through some challenging experiences. And I’m glad you’re here.

It's not uncommon to overthink things or feel like you don't deserve the good things in life. This is especially true when you've been through a lot. With this mini-therapy, I want to offer my support and explore how your life experiences may impact you today.

It's imperative to acknowledge and examine our past experiences because they shape our present behaviors and attitudes. When you mention that you've been through a lot, can you tell me more about that? Sometimes, just sharing our stories can be healing in itself.",reflective_questions,What are some specific moments or events that stand out to you as particularly difficult or impactful?,practice_awareness,I appreciate your openness and vulnerability. I’ll give you a moment to pause before proceeding.,reflective_questions,"Imagine yourself as a child and write a letter to that child, expressing love and support. Take a minute to think about what that would look like. You can collect your thoughts here.",reflective_questions,Write down a belief and a positive statement that counteracts that belief.,,,,,,,,
"I don’t feel like going out at all. I don’t feel like picking up phone calls, whether from my parents or friends. I won’t callback anyone unless I really have to. I just don’t talk to people much","Hi there 😊 Please to meet you.

I see how talking to people overwhelms you, possibly exaggerating your emotional fatigue. You are right, sometimes engaging with people can deplete us of our energy; therefore, isolation is a preferred course of action for the body. This is a very normal response to stressors, in your case arising from work, personal life, and relationships. This is not a “bad” feeling to encounter and doesn't make you a bad person. Emotions are neither good nor bad, but neutral and merely a response. When we are going through a sensory overload, even exposing ourselves to an environment other than our home space (familiarity) can feel too much for our bodies.

Perhaps, you feel obligated to get in touch with friends and families but on the other hand, it also tells me that you could be setting realistic expectations with yourself/people about your boundary system, that “you will get in touch with people if you really have to”. It shows you might be open to negotiation and consider how sometimes our boundaries can affect people around us. Have I read that right?

You also concluded by saying “I just don’t talk to people much;” It tells me that you talk to people but possibly the talking isn’t “much”, as they or you’d like to have. What do you think?",guided_journaling,"Before we move ahead, let’s try to understand why you feel like isolating yourself from others. what’s making you isolate yourself?",,,,,,,,,,,,,,
"I want to stop having such adverse reactions in my body which just make me feel horrible. Even though it doesn't happen a lot, it might happen more if I go back to the place where I felt it first and that's why I really want to stop having these reactions","Hi, and welcome! I am so glad you are here; it means you are one step closer to understanding and managing your anxiety.

It must be tough and scary to experience such physical symptoms like nausea and light-headedness, especially when it is difficult to pinpoint why you are having these reactions. Anxiety can be a little bully sometimes, can’t it?

The fact that you are here tells me that you are motivated to empower yourself so that anxiety becomes more manageable and you can do the things that you want to do.

You mentioned that your anxiety keeps you stuck, preventing you from doing the things you really want to do. After completing this mini-therapy, you will:

1. Have an in-depth understanding of the core issues that trigger you
2. Have some tools and strategies to calm your body.
3. Learn that it is okay to live alongside anxiety without it interfering with your life

Ready? Let’s go!

Before we begin, I want you to check in with yourself. It’s so imperative to understand what stories you might be telling yourself that could keep you stuck. Things like “I will try this, but I have already tried everything so I am not hopeful this will work,” is an example of a narrative that might be keeping you from getting all that you want out of this therapy.",reflective_questions,What is your internal story about this therapy you are about to do?,guided_journaling,"Let's do a writing exercise. I would like you to get out a piece of paper and reflect on your childhood. Pay close attention to the experiences you mentioned that were not great. Think about these questions as you write:

1. How did you feel around new people?
2. How did your family handle emotions or times when you were upset?
3. What did you learn about your ability to handle difficult situations growing up?",practice_breathing,breathing_4_x_5_x_6,practice_affirmations,Anxiety will not stop me from doing the things that I want to do. I am strong and capable.,,,,,,,,
